Color,R,G,B
Blue,0,0,255
Yellow,255,255,0
Cyan,0,255,255
Black,0,0,0
White,255,255,255
Red,255,0,0
Green,0,100,0
Orange,255,102,0
Cyan,0,255,255
Purple,160,32,240
Brown,150,75,0
Gray,128,128,128
Olive,128,128,0
Maroon,128,0,0
Violet,143,0,255
Charcoal,54,69,79
Magenta,255,0,255
Bronze,205,127,50
Cream,255,253,208
Tan,210,180,140
Teal,0,128,128
Mustard,255,219,88
Navy Blue,0,0,128
Coral,255,127,80
Burgundy,128,0,32
Lavender,230,230,250
Mauve,224,176,255
Peach,255,229,180
Rust,183,65,14
Gold,255,215,0
Pink,255,192,203
Silver,192,192,192
